algorithm,test_env,val_env,trial,hparams_seed,seed
ERMMerged,all,train,0,1,707284769
ERMMerged,all,train,0,2,202138969
ERMMerged,all,train,0,3,1098788825
ERMMerged,all,train,0,4,1168116692
ERMMerged,all,train,0,5,2120523811
ERMMerged,all,train,0,6,969446988
ERMMerged,all,train,0,7,414856371
ERMMerged,all,train,0,8,1793774555
ERMMerged,all,train,0,9,1942288518
ERMMerged,all,train,0,10,1644254711
ERMMerged,all,train,0,11,1619526535
ERMMerged,all,train,0,12,1190290209
ERMMerged,all,train,0,13,841287360
ERMMerged,all,train,0,14,1613013837
ERMMerged,all,train,0,15,388892549
ERMMerged,all,train,0,16,512233254
ERMMerged,all,train,0,17,1156871158
ERMMerged,all,train,0,18,257519174
ERMMerged,all,train,0,19,1140150160
ERMMerged,all,train,0,20,1906033980
ERMMerged,all,train,1,1,1450127722
ERMMerged,all,train,1,2,1701087764
ERMMerged,all,train,1,3,1357082080
ERMMerged,all,train,1,4,971394303
ERMMerged,all,train,1,5,157751857
ERMMerged,all,train,1,6,1294183988
ERMMerged,all,train,1,7,964163387
ERMMerged,all,train,1,8,711040121
ERMMerged,all,train,1,9,1003647898
ERMMerged,all,train,1,10,1148246333
ERMMerged,all,train,1,11,284364556
ERMMerged,all,train,1,12,1514319472
ERMMerged,all,train,1,13,1033284148
ERMMerged,all,train,1,14,295310160
ERMMerged,all,train,1,15,1662514022
ERMMerged,all,train,1,16,991116498
ERMMerged,all,train,1,17,1427736071
ERMMerged,all,train,1,18,1106157274
ERMMerged,all,train,1,19,182668729
ERMMerged,all,train,1,20,1510353769
ERMMerged,all,train,2,1,1406065750
ERMMerged,all,train,2,2,510203501
ERMMerged,all,train,2,3,1264635691
ERMMerged,all,train,2,4,745612327
ERMMerged,all,train,2,5,24198369
ERMMerged,all,train,2,6,1092558425
ERMMerged,all,train,2,7,377801453
ERMMerged,all,train,2,8,54239142
ERMMerged,all,train,2,9,558138662
ERMMerged,all,train,2,10,308210302
ERMMerged,all,train,2,11,302620416
ERMMerged,all,train,2,12,1048837235
ERMMerged,all,train,2,13,730782208
ERMMerged,all,train,2,14,1107020849
ERMMerged,all,train,2,15,629571292
ERMMerged,all,train,2,16,825115242
ERMMerged,all,train,2,17,1854711887
ERMMerged,all,train,2,18,743297661
ERMMerged,all,train,2,19,324838215
ERMMerged,all,train,2,20,819661486
ERMMerged,all,train,3,1,1127441467
ERMMerged,all,train,3,2,2007149565
ERMMerged,all,train,3,3,1843924347
ERMMerged,all,train,3,4,489396276
ERMMerged,all,train,3,5,1719961803
ERMMerged,all,train,3,6,408784350
ERMMerged,all,train,3,7,358070658
ERMMerged,all,train,3,8,2136781677
ERMMerged,all,train,3,9,2084249046
ERMMerged,all,train,3,10,456616949
ERMMerged,all,train,3,11,1338570858
ERMMerged,all,train,3,12,1089872505
ERMMerged,all,train,3,13,2108697493
ERMMerged,all,train,3,14,1214392268
ERMMerged,all,train,3,15,1675429070
ERMMerged,all,train,3,16,1941778907
ERMMerged,all,train,3,17,401105389
ERMMerged,all,train,3,18,1858304725
ERMMerged,all,train,3,19,2094696050
ERMMerged,all,train,3,20,1712636584
ERMMerged,all,train,4,1,64936825
ERMMerged,all,train,4,2,2042218592
ERMMerged,all,train,4,3,434043101
ERMMerged,all,train,4,4,562253342
ERMMerged,all,train,4,5,50290268
ERMMerged,all,train,4,6,1896862255
ERMMerged,all,train,4,7,1542498216
ERMMerged,all,train,4,8,451469196
ERMMerged,all,train,4,9,270226049
ERMMerged,all,train,4,10,500535229
ERMMerged,all,train,4,11,1538071485
ERMMerged,all,train,4,12,1342547731
ERMMerged,all,train,4,13,1181965566
ERMMerged,all,train,4,14,1475951894
ERMMerged,all,train,4,15,1024582982
ERMMerged,all,train,4,16,1555653455
ERMMerged,all,train,4,17,2110992702
ERMMerged,all,train,4,18,18816393
ERMMerged,all,train,4,19,30293305
ERMMerged,all,train,4,20,1178356190
ERMID,training_setA,train,0,1,817546018
ERMID,training_setA,train,0,2,1719507369
ERMID,training_setA,train,0,3,349024775
ERMID,training_setA,train,0,4,1557215323
ERMID,training_setA,train,0,5,1698576892
ERMID,training_setA,train,0,6,1526328205
ERMID,training_setA,train,0,7,1417502463
ERMID,training_setA,train,0,8,1930564362
ERMID,training_setA,train,0,9,1287560382
ERMID,training_setA,train,0,10,1111456929
ERMID,training_setA,train,0,11,725801040
ERMID,training_setA,train,0,12,1653348522
ERMID,training_setA,train,0,13,747835748
ERMID,training_setA,train,0,14,795344895
ERMID,training_setA,train,0,15,1664184563
ERMID,training_setA,train,0,16,748191298
ERMID,training_setA,train,0,17,1606320700
ERMID,training_setA,train,0,18,1513413213
ERMID,training_setA,train,0,19,606437990
ERMID,training_setA,train,0,20,1897776896
ERMID,training_setA,train,1,1,1649226776
ERMID,training_setA,train,1,2,728589136
ERMID,training_setA,train,1,3,1283355330
ERMID,training_setA,train,1,4,1780677782
ERMID,training_setA,train,1,5,1865300222
ERMID,training_setA,train,1,6,1799895863
ERMID,training_setA,train,1,7,34174794
ERMID,training_setA,train,1,8,1232416379
ERMID,training_setA,train,1,9,427737829
ERMID,training_setA,train,1,10,2078189699
ERMID,training_setA,train,1,11,1890454796
ERMID,training_setA,train,1,12,1853617187
ERMID,training_setA,train,1,13,763948138
ERMID,training_setA,train,1,14,10613084
ERMID,training_setA,train,1,15,152644570
ERMID,training_setA,train,1,16,1728076535
ERMID,training_setA,train,1,17,1782701361
ERMID,training_setA,train,1,18,832282613
ERMID,training_setA,train,1,19,1259220955
ERMID,training_setA,train,1,20,1817117293
ERMID,training_setA,train,2,1,1957804024
ERMID,training_setA,train,2,2,1547430828
ERMID,training_setA,train,2,3,309993383
ERMID,training_setA,train,2,4,72795168
ERMID,training_setA,train,2,5,49313917
ERMID,training_setA,train,2,6,1629488175
ERMID,training_setA,train,2,7,337710110
ERMID,training_setA,train,2,8,795530493
ERMID,training_setA,train,2,9,1309747383
ERMID,training_setA,train,2,10,662421775
ERMID,training_setA,train,2,11,731366869
ERMID,training_setA,train,2,12,2146656638
ERMID,training_setA,train,2,13,947175050
ERMID,training_setA,train,2,14,1501824582
ERMID,training_setA,train,2,15,2021133840
ERMID,training_setA,train,2,16,856771681
ERMID,training_setA,train,2,17,1653062000
ERMID,training_setA,train,2,18,1931327166
ERMID,training_setA,train,2,19,90526213
ERMID,training_setA,train,2,20,2008434720
ERMID,training_setA,train,3,1,1150913335
ERMID,training_setA,train,3,2,1376225071
ERMID,training_setA,train,3,3,1922395224
ERMID,training_setA,train,3,4,1174335378
ERMID,training_setA,train,3,5,1668145937
ERMID,training_setA,train,3,6,289757651
ERMID,training_setA,train,3,7,1394733650
ERMID,training_setA,train,3,8,118811456
ERMID,training_setA,train,3,9,280080590
ERMID,training_setA,train,3,10,80716240
ERMID,training_setA,train,3,11,508032024
ERMID,training_setA,train,3,12,1439790165
ERMID,training_setA,train,3,13,2120564257
ERMID,training_setA,train,3,14,1573556796
ERMID,training_setA,train,3,15,472748214
ERMID,training_setA,train,3,16,1903933308
ERMID,training_setA,train,3,17,1658820362
ERMID,training_setA,train,3,18,1138245527
ERMID,training_setA,train,3,19,861965117
ERMID,training_setA,train,3,20,1156476058
ERMID,training_setA,train,4,1,165436934
ERMID,training_setA,train,4,2,679778325
ERMID,training_setA,train,4,3,1485876427
ERMID,training_setA,train,4,4,2087775379
ERMID,training_setA,train,4,5,2006332624
ERMID,training_setA,train,4,6,730999995
ERMID,training_setA,train,4,7,562644231
ERMID,training_setA,train,4,8,164083645
ERMID,training_setA,train,4,9,545207053
ERMID,training_setA,train,4,10,1507472831
ERMID,training_setA,train,4,11,1422245243
ERMID,training_setA,train,4,12,360705862
ERMID,training_setA,train,4,13,763851171
ERMID,training_setA,train,4,14,70091350
ERMID,training_setA,train,4,15,368218589
ERMID,training_setA,train,4,16,625307232
ERMID,training_setA,train,4,17,924361286
ERMID,training_setA,train,4,18,1080412605
ERMID,training_setA,train,4,19,685286518
ERMID,training_setA,train,4,20,2124710559
ERMID,training_setB,train,0,1,817546018
ERMID,training_setB,train,0,2,1719507369
ERMID,training_setB,train,0,3,349024775
ERMID,training_setB,train,0,4,1557215323
ERMID,training_setB,train,0,5,1698576892
ERMID,training_setB,train,0,6,1526328205
ERMID,training_setB,train,0,7,1417502463
ERMID,training_setB,train,0,8,1930564362
ERMID,training_setB,train,0,9,1287560382
ERMID,training_setB,train,0,10,1111456929
ERMID,training_setB,train,0,11,725801040
ERMID,training_setB,train,0,12,1653348522
ERMID,training_setB,train,0,13,747835748
ERMID,training_setB,train,0,14,795344895
ERMID,training_setB,train,0,15,1664184563
ERMID,training_setB,train,0,16,748191298
ERMID,training_setB,train,0,17,1606320700
ERMID,training_setB,train,0,18,1513413213
ERMID,training_setB,train,0,19,606437990
ERMID,training_setB,train,0,20,1897776896
ERMID,training_setB,train,1,1,1649226776
ERMID,training_setB,train,1,2,728589136
ERMID,training_setB,train,1,3,1283355330
ERMID,training_setB,train,1,4,1780677782
ERMID,training_setB,train,1,5,1865300222
ERMID,training_setB,train,1,6,1799895863
ERMID,training_setB,train,1,7,34174794
ERMID,training_setB,train,1,8,1232416379
ERMID,training_setB,train,1,9,427737829
ERMID,training_setB,train,1,10,2078189699
ERMID,training_setB,train,1,11,1890454796
ERMID,training_setB,train,1,12,1853617187
ERMID,training_setB,train,1,13,763948138
ERMID,training_setB,train,1,14,10613084
ERMID,training_setB,train,1,15,152644570
ERMID,training_setB,train,1,16,1728076535
ERMID,training_setB,train,1,17,1782701361
ERMID,training_setB,train,1,18,832282613
ERMID,training_setB,train,1,19,1259220955
ERMID,training_setB,train,1,20,1817117293
ERMID,training_setB,train,2,1,1957804024
ERMID,training_setB,train,2,2,1547430828
ERMID,training_setB,train,2,3,309993383
ERMID,training_setB,train,2,4,72795168
ERMID,training_setB,train,2,5,49313917
ERMID,training_setB,train,2,6,1629488175
ERMID,training_setB,train,2,7,337710110
ERMID,training_setB,train,2,8,795530493
ERMID,training_setB,train,2,9,1309747383
ERMID,training_setB,train,2,10,662421775
ERMID,training_setB,train,2,11,731366869
ERMID,training_setB,train,2,12,2146656638
ERMID,training_setB,train,2,13,947175050
ERMID,training_setB,train,2,14,1501824582
ERMID,training_setB,train,2,15,2021133840
ERMID,training_setB,train,2,16,856771681
ERMID,training_setB,train,2,17,1653062000
ERMID,training_setB,train,2,18,1931327166
ERMID,training_setB,train,2,19,90526213
ERMID,training_setB,train,2,20,2008434720
ERMID,training_setB,train,3,1,1150913335
ERMID,training_setB,train,3,2,1376225071
ERMID,training_setB,train,3,3,1922395224
ERMID,training_setB,train,3,4,1174335378
ERMID,training_setB,train,3,5,1668145937
ERMID,training_setB,train,3,6,289757651
ERMID,training_setB,train,3,7,1394733650
ERMID,training_setB,train,3,8,118811456
ERMID,training_setB,train,3,9,280080590
ERMID,training_setB,train,3,10,80716240
ERMID,training_setB,train,3,11,508032024
ERMID,training_setB,train,3,12,1439790165
ERMID,training_setB,train,3,13,2120564257
ERMID,training_setB,train,3,14,1573556796
ERMID,training_setB,train,3,15,472748214
ERMID,training_setB,train,3,16,1903933308
ERMID,training_setB,train,3,17,1658820362
ERMID,training_setB,train,3,18,1138245527
ERMID,training_setB,train,3,19,861965117
ERMID,training_setB,train,3,20,1156476058
ERMID,training_setB,train,4,1,165436934
ERMID,training_setB,train,4,2,679778325
ERMID,training_setB,train,4,3,1485876427
ERMID,training_setB,train,4,4,2087775379
ERMID,training_setB,train,4,5,2006332624
ERMID,training_setB,train,4,6,730999995
ERMID,training_setB,train,4,7,562644231
ERMID,training_setB,train,4,8,164083645
ERMID,training_setB,train,4,9,545207053
ERMID,training_setB,train,4,10,1507472831
ERMID,training_setB,train,4,11,1422245243
ERMID,training_setB,train,4,12,360705862
ERMID,training_setB,train,4,13,763851171
ERMID,training_setB,train,4,14,70091350
ERMID,training_setB,train,4,15,368218589
ERMID,training_setB,train,4,16,625307232
ERMID,training_setB,train,4,17,924361286
ERMID,training_setB,train,4,18,1080412605
ERMID,training_setB,train,4,19,685286518
ERMID,training_setB,train,4,20,2124710559
